dosen,scholar_id,title,authors,journal,year,citations,link
Endryansyah,9BWyE0UAAAAJ,Simulasi Sistem Monitor Ketinggian Air Pada Bendungan Air Dengan Fuzzy-PID Menggunakan Matlab,"MFA Perdana, E Endryansyah, N Kholis, B Suprianto","Jurnal Teknik Elektro 11 (1), 56-62, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:mB3voiENLucC
Endryansyah,9BWyE0UAAAAJ,Desain Sistem Pengaturan Keseimbangan Posisi Bola pada Sistem Ball and Beam Menggunakan Metode Kendali Root Locus Berbasis MATLAB,"EP Fadillah, E Endryansyah, PW Rusimamto, MS Zuhri","JURNAL TEKNIK ELEKTRO 11 (1), 136-145, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:roLk4NBRz8UC
Endryansyah,9BWyE0UAAAAJ,Rancang Bangun Sistem Deteksi Label Kardus Berbasis Model Kecerdasan Buatan YOLO dan EasyOCR serta ESP32-CAM,"SA Nugroho, N Kholis, E Endryansyah, F Baskoro","JURNAL TEKNIK ELEKTRO 11 (2), 190-200, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:3fE2CSJIrl8C
Endryansyah,9BWyE0UAAAAJ,Rancang Bangun PLTS Portable Untuk Supply Mobile Charger Berbasis Internet of Things,"H Kusumastuti, E Endryansyah, N Kholis","Indonesian Journal of Engineering and Technology (INAJET) 5 (1), 20-28, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:pyW8ca7W8N0C
Endryansyah,9BWyE0UAAAAJ,Optimasi Sistem Monitoring Penghitung Produk Gula dengan Menggunakan SCADA Berbasis Distributed Control System (DCS),"MFR Setiawan, E Endryansyah, SI Haryudo, AI Agung","JURNAL TEKNIK ELEKTRO 11 (3), 463-470, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:bFI3QPDXJZMC
Endryansyah,9BWyE0UAAAAJ,Perancangan Sistem Transfer Station Barang Pada Sistem Penyortiran Otomatis Menggunakan Teknologi Elektro-Pneumatik,"DY Asmara, E Endryansyah","JURNAL TEKNIK ELEKTRO 13 (2), 174-181, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:KxtntwgDAa4C
Endryansyah,9BWyE0UAAAAJ,Perancangan Sistem Kendali Exhaust Fan Berbasis IOT dengan Sensor MQ-2 dan DHT22 untuk Optimalisasi Konsumsi Energi,"ND Setia, B Suprianto, E Endryansyah, N Kholis","JURNAL TEKNIK ELEKTRO 14 (3), 250-256, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:4fKUyHm3Qg0C
Paramitha Nerisafitra,Em3aIV0AAAAJ,How to Find Gap Analysis in Undergraduate User Satisfaction Through a Tracer Study,"P Nerisafitra, MDE Susanti, R Alit, A Prapanca","Applied Technology and Computing Science Journal 6 (2), 123-131, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=Em3aIV0AAAAJ&pagesize=100&citation_for_view=Em3aIV0AAAAJ:4DMP91E08xMC
Endryansyah,9BWyE0UAAAAJ,Desain sistem anti-swing pada miniature gantry crane menggunakan pengendali PID dan PD berbasis matlab,"MY Arrifai, E Endryansyah, PW Rusimamto, MS Zuhrie","Indonesian Journal of Engineering and Technology (INAJET) 3 (2), 56-65, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=9BWyE0UAAAAJ&pagesize=100&citation_for_view=9BWyE0UAAAAJ:4TOpqqG69KYC
Rina Harimurti,2DniQ8EAAAAJ,Pengukuran Peminatan Siswa Sekolah Dasar Menggunakan Web Pembelajaran Berbasis Game,"S Dwi Fatrianto, R Harimurti, A Qoiriah","Journal Information Engineering and Educational Technology) ISSN 2549, 869X, 2019",2019,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:4TOpqqG69KYC
Rina Harimurti,2DniQ8EAAAAJ,Gui based performance comparison of WBC segmentation and its classification,DS JS,,2020,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:IWHjjKOFINEC
Rina Harimurti,2DniQ8EAAAAJ,PENGEMBANGAN MODUL MIKROKONTROLLER CODEVISION AVR MENGGUNAKAN PERANGKAT LUNAK PROTEUS PROFESSIONAL PADA MATA PELAJARAN MIKROPROSESSOR DAN MIKROKONTROLLER UNTUK SISWA KELAS XI …,"RDP Purnama, A Widodo, R Harimurti, R Rahmadian",,2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:Wp0gIr-vW9MC
Rina Harimurti,2DniQ8EAAAAJ,Factors Influencing Student Achievement During the COVID-19 Pandemic,"R Harimurti, MS Zuhrie","International Joint Conference on Science and Engineering 2021 (IJCSE 2021 …, 2021",2021,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:u-x6o8ySG0sC
Rina Harimurti,2DniQ8EAAAAJ,Pengaruh Media Pembelajaran Google Classroom Dalam Pembelajaran Blended Learning Untuk Meningkatkan Hasil Belajar Siswa Kelas X Teknik Audio Video pada Mata Pelajaran Dasar …,"F Ardiansah, R Harimurti, E Sulistiyo, PW Rusimamto","Jurnal Pendidikan Teknik Elektro 11 (03), 419-428, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:YOwf2qJgpHMC
Rina Harimurti,2DniQ8EAAAAJ,The impact of motivation and cognitive ability on interface design skills,"R Harimurti, MSS Yeni Anistyasari, A Qoiriah","World Transactions on Engineering and Technology Education 20 (3), 157-162, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:_Qo2XoVZTnwC
Rina Harimurti,2DniQ8EAAAAJ,STUDI LITERATUR: KOMPARASI KEEFEKTIFAN PENGGUNAAN MODEL PEMBELAJARAN NUMBERED HEAD TOGETHER (NHT) DAN MODEL PEMBELAJARAN TEAMS GAMES TOURNAMENT (TGT) DALAM MENINGKATKANHASIL …,"BEA Laksana, T Rijanto, MS Sumbawati, R Harimurti","Jurnal Pendidikan Teknik Elektro 12 (01), 51-59, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:e5wmG9Sq2KIC
Rina Harimurti,2DniQ8EAAAAJ,Automatic programming assessment to measure programming problem-solving skills,"R Harimurti, Y Anistyasari, PW Rusimamto, SI Haryudo","ACEIVE 2022: Proceedings of the 4th Annual Conference of Engineering and …, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:TFP_iSt0sucC
Rina Harimurti,2DniQ8EAAAAJ,Pengembangan Media Pembelajaran Melalui Learning Management Sistem (Lms) Di Smk Negeri 3 Surabaya (Uji Coba Pada Mata Pelajaran Mikrokontroler Dan Mikroprosesor),"MN Fikar, MS Sumbawati, R Harimurti, N Kholis","J. Pendidik. Tek. Elektro 13 (03), 177-188, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:HoB7MX3m0LUC
Rina Harimurti,2DniQ8EAAAAJ,Pengembangan Media Pembelajaran Digital Berbasis Instagram Pada Mata Pelajaran Dasar Teknik Elektronika Kelas X TAV di SMKN 3 Surabaya,"AR Hidayatulloh, MS Zuhrie, N Kholis, R Harimurti","Jurnal Pendidikan Teknik Elektro 13 (02), 127-137, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:NhqRSupF_l8C
Rina Harimurti,2DniQ8EAAAAJ,Design and Development of Classroom Reservation Information System,"R Harimurti, A Qoiriah","Seminar Nasional Riset Terapan 1, A236-A245, 2016",2016,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:qjMakFHDy7sC
Rina Harimurti,2DniQ8EAAAAJ,Beef weight prediction system based on image processing in order to increase livestock productivity,"L Anifah, R Harimurti, A Qoiriah","Advanced Science Letters 23 (12), 11892-11896, 2017",2017,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:zYLM7Y9cAGgC
Yeni Anistyasari,IJIEntMAAAAJ,PENGEMBANGAN MODUL INTERAKTIF UNTUK MEMBUAT ANIMASI 2D DALAM MENINGKATKAN KETERAMPILAN DAN EFIKASI DIRI SISWA PADA MATA PELAJARAN TEKNIK ANIMASI,"AB Purwanto, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 8 (1), 80-86, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:nb7KW1ujOQ8C
Yeni Anistyasari,IJIEntMAAAAJ,MEDIA PEMBELAJARAN E-LEARNING BERBASIS WEB UNTUK MENINGKATKAN HASIL BELAJAR SISWA PADA MATA PELAJARAN PEMROGRAMAN BERORIENTASI OBJEK,"K Yuliana, Y Anistyasari","IT-Edu: Jurnal Information Technology and Education 8 (2), 44-51, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:p2g8aNsByqUC
Yeni Anistyasari,IJIEntMAAAAJ,Automated essay scoring to assess digital literacy competence,"Y Anistyasari, E Ekohariadi, T Rijanto, SC Hidayati","AIP Conference Proceedings 3116 (1), 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=IJIEntMAAAAJ&pagesize=100&citation_for_view=IJIEntMAAAAJ:tS2w5q8j5-wC
Rizky Basatha,FZ00CQ8AAAAJ,Penerapan Data Mining untuk Peminjaman Buku dengan Menggunakan Algoritma Apriori,"RA PRAYOGA, R Basatha, MS Akbar, EA Elfaiz, CD Putra","Jurnal Ilmu Komputer dan Multimedia 1 (2), 1-6, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ00CQ8AAAAJ&pagesize=100&citation_for_view=FZ00CQ8AAAAJ:ULOm3_A8WrAC
Rizky Basatha,FZ00CQ8AAAAJ,Mengembangkan Chatbot Empatik untuk Dukungan Kesehatan Mental: Solusi Inovatif dalam Pendampingan Psikologis,"CD Putra, RAS Prayoga, M Cinthya, R Basatha, MS Akbar, EA Elfaiz","Jurnal Ilmu Komputer dan Multimedia 1 (2), 7-12, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ00CQ8AAAAJ&pagesize=100&citation_for_view=FZ00CQ8AAAAJ:_kc_bZDykSQC
Rizky Basatha,FZ00CQ8AAAAJ,Analisis Sentimen Performansi Operator Telekomunikasi di Indonesia Menggunakan Metode Text Mining,"EA Elfaiz, RAS Prayoga, M Cinthya, MS Akbar, R Basatha","SATESI: Jurnal Sains Teknologi dan Sistem Informasi 5 (1), 14-22, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=FZ00CQ8AAAAJ&pagesize=100&citation_for_view=FZ00CQ8AAAAJ:4JMBOYKVnBMC
Anita Qoiriah,N6RJilIAAAAJ,Utilizing hybrid CNN-SVM and FastText word embedding for twitter cyberbullying classification,"A Qoiriah, DO Putri, Y Yamasari, IM Suartana, RE Putra, AI Nurhidayat","2024 Seventh International Conference on Vocational Education and Electrical …, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:ZHo1McVdvXMC
Lilik Anifah,6MXDzBQAAAAJ,Nanoparticles as Nanofluid in Double Pipe Heat,"IM Arsana, T Wiyanto¹, M Muhaji¹, H Novitasari¹, L Anifah, A Saiffudin¹","Proceedings of the International Joint Conference on Science and Engineering …, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:P5F9QuxV20EC
Lilik Anifah,6MXDzBQAAAAJ,Desain Antena Vivaldi Coplanar Wibeband Untuk Aplikasi Through-Wall Radar (TWR),"MA Noval, N Nurhayati, L Anifah, HPA Tjhayaningtijas","JURNAL TEKNIK ELEKTRO 12 (1), 9-18, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:p2g8aNsByqUC
Lilik Anifah,6MXDzBQAAAAJ,Berpikir Kreatif Dalam Pengembangan Plug-And-Play Sistem Dan Database Case Study Sensor Suhu DHT11,"F Baskoro, B Suprianto, L Anifah","JOURNAL ZETROEM 5 (1), 19-27, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:WbkHhVStYXYC
Lilik Anifah,6MXDzBQAAAAJ,Rancang Bangun Smart Aquarium Untuk Ikan Channa Berbasis IoT,"B Utomo, L Anifah","Jurnal Teknik Elektro 12 (3), 68-75, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:sSrBHYA8nusC
Lilik Anifah,6MXDzBQAAAAJ,Breast cancer prediction based clinical symptoms using k-means,"L Anifah, PW Rusimamto","2023 IEEE 7th International Conference on Information Technology …, 2023",2023,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:kRWSkSYxWN8C
Lilik Anifah,6MXDzBQAAAAJ,Rancang Bangun Sistem Keamanan Pintu Menggunakan PIR Sensor dengan Image Notification Berbasis Internet Of Things,"MY Subekti, B Suprianto, M Rohman, L Anifah","Indonesian Journal of Engineering and Technology (INAJET) 6 (2), 60-67, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:WA5NYHcadZ8C
Lilik Anifah,6MXDzBQAAAAJ,The Design of Aurel's with Artificial Intelligence Learning Based on Deep Learning for Autism Pervasive Development Disorder Children,"MS Zuhrie, L Anifah, PW Rusimamto","2024 IEEE International Symposium on Consumer Technology (ISCT), 55-60, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:9vf0nzSNQJEC
Lilik Anifah,6MXDzBQAAAAJ,Tackling the Future: Optimizing TVET Students of Employability Skills Through Self-Regulated Learning and Self-Efficacy,"YK Lestari, AI Agung, IGPA Buditjahjanto, L Anifah, T Wrahatnolo, S Isnur, ...","Ekuitas: Jurnal Pendidikan Ekonomi 12 (1), 1-12, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:UHK10RUVsp4C
Lilik Anifah,6MXDzBQAAAAJ,PENGARUH SELF-EFFICACY TERHADAP KESIAPAN KERJA SISWA PROGRAM KEAHLIAN TEKNIK INSTALASI TENAGA LISTRIK SEKOLAH MENENGAH KEJURUAN,"DPS Fitri, MS Sumbawati, L Anifah","LEARNING: Jurnal Inovasi Penelitian Pendidikan dan Pembelajaran 5 (2), 746-754, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:ZfRJV9d4-WMC
Lilik Anifah,6MXDzBQAAAAJ,Literatur Review: Efektivitas Penggunaan Aplikasi Kahoot Sebagai Media Assesmen Pembelajaran Untuk Meningkatkan Hasil Belajar,"L Setyowati, S Soeryanto, L Anifah, IGP Asto","Edukasiana: Jurnal Inovasi Pendidikan 4 (3), 475-484, 2025",2025,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=6MXDzBQAAAAJ&pagesize=100&citation_for_view=6MXDzBQAAAAJ:fEOibwPWpKIC
Rina Harimurti,2DniQ8EAAAAJ,Implementasi Quizizz sebagai media asesmen pada mata pelajaran dasar kejuruan di SMK,"R Guntoro, S Suparji, R Harimurti","JIPI (Jurnal Ilmiah Penelitian dan Pembelajaran Informatika) 9 (4), 2365-2372, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:zA6iFVUQeVQC
Rina Harimurti,2DniQ8EAAAAJ,PENGEMBANGAN OPEN SOURCE ODOO SEBAGAI MEDIA PEMBELAJARAN INTERAKTIF UNTUK MENINGKATKAN HASIL BELAJAR PESERTA DIDIK TEKNIK OTOMASI INDUSTRI SMKS SEMEN GRESIK,"WF Putri, R Harimurti, N Kholis, PW Rusimamto","Jurnal Pendidikan Teknik Elektro 15 (01), 15-20, 2026",2026,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=2DniQ8EAAAAJ&pagesize=100&citation_for_view=2DniQ8EAAAAJ:bFI3QPDXJZMC
Anita Qoiriah,N6RJilIAAAAJ,The impact of motivation and cognitive ability on interface design skills,"R Harimurti, MSS Yeni Anistyasari, A Qoiriah","World Transactions on Engineering and Technology Education 20 (3), 157-162, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:hFOr9nPyWt4C
Anita Qoiriah,N6RJilIAAAAJ,Implementasi Metode Backpropagation dalam Pengolahan Citra Teks Tulisan Tangan Menjadi Teks Digital dan Text-to-Speech pada Sistem Operasi Android Sebagai Alat Bantu Komunikasi …,"SMA Herlambang, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 3 (04), 446-455, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:qUcmZB5y_30C
Anita Qoiriah,N6RJilIAAAAJ,Improving the Performance of Classification via Clustering on the Students’ Academic Performance using Stacking Algorithm,"Y Yamasari, RA Ahmad, HPA Tjahyaningtijas, A Qoiriah, N Rochmawati, ...","International Conference on Soft Computing and Pattern Recognition, 205-214, 2022",2022,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:TFP_iSt0sucC
Anita Qoiriah,N6RJilIAAAAJ,"Pengaruh Refactoring Terhadap Tingkat Pemeliharaan Perangkat Lunak Pada Aplikasi Permainan"" Infection Defender""","SH Sadiyah, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 5 (03), 400-413, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:NMxIlDl6LWMC
Anita Qoiriah,N6RJilIAAAAJ,Pengelompokan Ulasan Video Game Elden Ring pada Platform Steam dengan Metode Spectral Clustering Menggunakan Principal Component Analysis Berbasis Similarity Gaussian,"TY Febriansyah, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 6 (02), 297-306, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:J_g5lzvAfSwC
Anita Qoiriah,N6RJilIAAAAJ,Klasifikasi Cyberbullying Pengguna Twitter Menggunakan Random Forest Dengan Penyematan Kata FastText,"DO Putri, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 6 (01), 265-272, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:lSLTfruPkqcC
Anita Qoiriah,N6RJilIAAAAJ,Rancang Bangun School Management System Berbasis Website Dengan Klasifikasi Santri Menggunakan Algoritma C5. 0,"URC Doa, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 6 (02), 359-370, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:2P1L_qKh6hAC
Anita Qoiriah,N6RJilIAAAAJ,Klasifikasi Tingkat Kesiapan Kerja Mahasiswa Universitas Negeri Surabaya Menggunakan Algoritma C5. 0,"G Cynthia, A Qoiriah","Journal of Informatics and Computer Science (JINACS) 6 (02), 383-396, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:ldfaerwXgEUC
Anita Qoiriah,N6RJilIAAAAJ,Exploring the tree algorithms to generate the optimal detection system of students' stress levels,"Y Yamasari, A Qoiriah, N Rochmawati, A Prapanca, A Prihanto, ...","Indonesian Journal of Electrical Engineering and Computer Science 36 (1 …, 2024",2024,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=N6RJilIAAAAJ&pagesize=100&citation_for_view=N6RJilIAAAAJ:g5m5HwL7SMYC
Dwi Fatrianto Suyatno,OffRzhoAAAAJ,Kondisi Aktual Penerapan Sistem Informasi Pengelolaan Surat Dalam Pemodelan Sistem Dinamik Di Perum Perhutani Unit II Jawa Timur,"D Fatrianto, E Suryani","SISFO-Jurnal Sistem Informasi 4 (2), 2012",2012,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:M3ejUd6NZC8C
Dwi Fatrianto Suyatno,OffRzhoAAAAJ,PEMODELAN SISTEM DINAMIK UNTUK SIMULASI KONDISI AKTUAL SISTEM INFORMASI PENGELOLAAN SURAT,ES Dwi Fatrianto S.,"Jurnal SISFO : Inspirasi Profesional Sistem Informasi 4 (Computer Science …, 2012",2012,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=OffRzhoAAAAJ&pagesize=100&citation_for_view=OffRzhoAAAAJ:d1gkVwhDpl0C
Ekohariadi,YADiqesAAAAJ,Pengaruh Model Pembelajaran dan Motivasi Berprestasi terhadap Hasil Belajar Siswa pada Materi Ms Excel,"S Siswati, E Ekohariadi, M Sondang","PENDIDIKAN VOKASI: TEORI DAN PRAKTIK 2 (01), 2014",2014,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YADiqesAAAAJ&pagesize=100&citation_for_view=YADiqesAAAAJ:d1gkVwhDpl0C
Ekohariadi,YADiqesAAAAJ,The development of collaboration communication skills and metacognitive of mechanical engineering vocational education program,"DA Sonhadji, E Ekohariadi, E Sutadji","European Journal of Education Studies, 2017",2017,1,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=YADiqesAAAAJ&pagesize=100&citation_for_view=YADiqesAAAAJ:Tyk-4Ss8FVUC
