Data set,"Publications at Universitas Negeri Surabaya"
Year range,2020 to 2024
Subject classification,"ASJC"
Filtered by,"not filtered"
Types of publications included,"All publication types"
Self-citations,-

Data source,Scopus
Date last updated,1 October 2025
Date exported,11 October 2025

"* In cases where the journal metric is not available for the publication year of a document, the ""closest year"" metrics are used. E.g. If the latest CiteScore percentile for a journal is from 2019, a 2020 document from that journal will display the 2019 CiteScore percentile value."

2535 publications

Dates,Some publication dates might be an approximation. Read more in https://service.elsevier.com/app/answers/detail/a_id/35535/supporthub/scival/


"Title","Authors","Number of Authors","Scopus Author Ids","Year","Full date","Scopus Source title","Volume","Issue","Pages","Article number","ISSN","Source ID","Source type","Language","SNIP (publication year)","SNIP percentile (publication year) *","CiteScore (publication year)","CiteScore percentile (publication year) *","SJR (publication year)","SJR percentile (publication year) *","Field-Weighted View Impact","Views","Citations","Field-Weighted Citation Impact","Field-Citation Average","Outputs in Top Citation Percentiles, per percentile","Field-Weighted Outputs in Top Citation Percentiles, per percentile","Main patent families","Policy citations","Reference","Abstract","DOI","Publication type","Open Access","EID","PubMed ID","Institutions","Number of Institutions","Scopus Affiliation IDs","Scopus Affiliation names","Scopus Author ID First Author","Scopus Author ID Last Author","Scopus Author ID Corresponding Author","Scopus Author ID Single Author","Country/Region","Number of Countries/Regions","All Science Journal Classification (ASJC) code","All Science Journal Classification (ASJC) field name","Quacquarelli Symonds (QS) Subject area code","Quacquarelli Symonds (QS) Subject area field name","Quacquarelli Symonds (QS) Subject code","Quacquarelli Symonds (QS) Subject field name","Times Higher Education (THE) code","Times Higher Education (THE) field name","ANZSRC FoR (2020) parent code","ANZSRC FoR (2020) parent name","ANZSRC FoR (2020) code","ANZSRC FoR (2020) name","Sustainable Development Goals (2025)","Topic Cluster name","Topic Cluster number","Topic Cluster Prominence Percentile","Topic name","Topic number","Topic Prominence Percentile","Publication link to Topic strength"
"Deep Learning Ability of Students from Superior and Non-Superior Classes at Microscopic Level of Protein","Erman, E.| Martini| Rosdiana, L.| Wakhidah, N.","4","57192427696| 57201570919| 57201347884| 57209793665","2021","2021-02-18","Journal of Physics: Conference Series","1747","1","-","012009","ISSN-17426588","130053","Conference Proceeding","English","0.4","71","0.8","82","-","-","0.8","17","4","2.06","1.94","52","12","0","0","Erman, E., Martini, Rosdiana, L. and 1 more (...) (2021).Deep Learning Ability of Students from Superior and Non-Superior Classes at Microscopic Level of Protein. Journal of Physics: Conference Series,1747(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85101807444&origin=resultslist","10.1088/1742-6596/1747/1/012009","Conference Paper","Gold","2-s2.0-85101807444","-","Universitas Negeri Surabaya| UIN Sunan Ampel Surabaya","2","60105082| 60110822","Universitas Negeri Surabaya| UIN Sunan Ampel Surabaya","57192427696","57209793665","57192427696","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","51","Physical Sciences","-","-","-","Integrating Science Education for Student Success","310","75.801","Enhancing Scientific Literacy Among High School Students","34583","71.732","Defensible"
"Perspectives on the problem-posing activity by prospective teachers: A cross-national study","Fitriana, L.D.| Ekawati, R.| Kovacs, Z.","3","59346447300| 57210812993| 7101988581","2022","2022-01-01","Journal on Mathematics Education","13","1","149-172","-","ISSN-20878885","21100898027","Journal","English","1.78","8","4.7","7","0.519","36","2.74","42","4","0.72","5.55","47","39","0","0","Fitriana, L.D., Ekawati, R., Kovacs, Z. (2022).Perspectives on the problem-posing activity by prospective teachers: A cross-national study. Journal on Mathematics Education,13(1) 149-172","https://www.scopus.com/record/display.url?eid=2-s2.0-85127174689&origin=resultslist","10.22342/jme.v13i1.pp149-172","Article","Gold","2-s2.0-85127174689","-","Hungarian Academy of Sciences| Eszterhazy Karoly University| University of Debrecen| Universitas Negeri Surabaya","4","60004400| 60105082| 60013608| 60027811","Debreceni Egyetem| Universitas Negeri Surabaya| Eszterházy Károly Catholic University| Magyar Tudomanyos Akademia","59346447300","7101988581","59346447300","-","Indonesia| Hungary","2","2600| 3304","General Mathematics| Education","4| 3","Natural Sciences| Social Sciences & Management","318| 431","Education & Training| Mathematics","37| 41","Physical Sciences| Education Studies","39","Education","3901","Curriculum and pedagogy","-","Mathematics Education and Teacher Development Insights","472","69.065","Enhancing Mathematics Education through Problem Posing","24868","83.584","Very Good"
"Implementation of Learning Curriculum in Integrated Independent Campus Learning Program Case Study on KKNT Village Project","Prabawati, I.| Meirinawati| Riyanto, Y.| Hariyati, N.| Indrasetianingsih, A.| Ladiqi, S.","6","57201196564| 57201198222| 57199508187| 57203658957| 58247011600| 57202441517","2023","2023-03-01","International Journal of Learning, Teaching and Educational Research","22","3","470-490","-","ISSN-16942116","21100897703","Journal","English","0.55","59","2.1","50","0.287","62","2.31","69","4","0.74","5.39","36","37","0","0","Prabawati, I., Meirinawati, Riyanto, Y. and 3 more (...) (2023).Implementation of Learning Curriculum in Integrated Independent Campus Learning Program Case Study on KKNT Village Project. International Journal of Learning, Teaching and Educational Research,22(3) 470-490","https://www.scopus.com/record/display.url?eid=2-s2.0-85159233908&origin=resultslist","10.26803/ijlter.22.3.28","Article","Gold","2-s2.0-85159233908","-","Universiti Sultan Zainal Abidin| Universitas Negeri Surabaya","2","60105082| 60165301| 60103919","Universitas Negeri Surabaya| Universitas PGRI Adi Buana Surabaya| Universiti Sultan Zainal Abidin","57201196564","57202441517","-","-","Indonesia| Malaysia","2","3304","Education","3","Social Sciences & Management","318","Education & Training","41","Education Studies","39","Education","3903","Education systems","-","Public Administration and Gender Representation Dynamics","493","71.55","Technocratic Governance and Public Management Reform","42136","20.949","Definitive"
"Artificial Intelligence in Credit Risk Management of Peer-to-Peer Lending Financial Technology: Systematic Literature Review","Arifah, I.D.C.| Nihaya, I.U.","2","57395409700| 58241836700","2023","2023-01-01","Proceedings - 2023 6th International Conference on Computer and Informatics Engineering: AI Trust, Risk and Security Management (AI Trism), IC2IE 2023","-","-","329-334","-","-","21101194361","Conference Proceeding","English","-","-","-","-","-","-","5.39","48","4","1.58","2.54","36","18","0","0","Arifah, I.D.C., Nihaya, I.U. (2023).Artificial Intelligence in Credit Risk Management of Peer-to-Peer Lending Financial Technology: Systematic Literature Review. Proceedings - 2023 6th International Conference on Computer and Informatics Engineering: AI Trust, Risk and Security Management (AI Trism), IC2IE 2023,329-334","https://www.scopus.com/record/display.url?eid=2-s2.0-85180737665&origin=resultslist","10.1109/IC2IE60547.2023.10331487","Conference Paper","","2-s2.0-85180737665","-","Universitas Negeri Surabaya","1","60105082","Universitas Negeri Surabaya","57395409700","58241836700","-","-","Indonesia","1","1702| 1705| 1708| 1710| 1802| 2213","Artificial Intelligence| Computer Networks and Communications| Hardware and Architecture| Information Systems| Information Systems and Management| Safety, Risk, Reliability and Quality","2","Engineering & Technology","249| 213| 212","Engineering - Petroleum| Data Science| Computer Science & Information Systems","36| 37| 38","Engineering| Physical Sciences| Computer Science","-","-","-","-","-","Corporate Governance and Ownership Impact on Performance","45","98.038","Peer-to-Peer Lending Dynamics and Credit Risk","15762","95.421","Definitive"
"Bioactive compounds screening of Rafflesia sp. and Sapria sp. (Family: Rafflesiaceae) as anti-SARS-CoV-2 via tetra inhibitors: An in silico research","Aini, N.S.| Kharisma, V.D.| Ansori, A.| Murtadlo, A.A.A.| Tamam, M.B.| Turista, D.D.R.| Rosadi, I.| Sucipto, T.H.| Jakhmola, V.| Rebezov, M.| Ullah, E.| Zainul, R.","12","57810983700| 57204628128| 57195995342| 57221725319| 57208204660| 57217389770| 57204720098| 56178602500| 36100373900| 57507188200| 57725354900| 56737195700","2023","2023-01-01","Journal of Pharmacy and Pharmacognosy Research","11","4","611-624","-","ISSN-07194250","21100456601","Journal","English","0.56","59","3","24","0.291","40","1.55","24","4","0.87","4.62","36","33","0","0","Aini, N.S., Kharisma, V.D., Ansori, A. and 9 more (...) (2023).Bioactive compounds screening of Rafflesia sp. and Sapria sp. (Family: Rafflesiaceae) as anti-SARS-CoV-2 via tetra inhibitors: An in silico research. Journal of Pharmacy and Pharmacognosy Research,11(4) 611-624","https://www.scopus.com/record/display.url?eid=2-s2.0-85171587578&origin=resultslist","10.56499/jppres23.1620_11.4.611","Article","Gold","2-s2.0-85171587578","-","Universitas Airlangga| Uttaranchal University| State University of Padang| Mulawarman University| Mississippi State University| Universitas Negeri Surabaya| Russian State Agrarian University, Moscow Timiryazev Agricultural Academy","7","60105082| 122481246| 60069383| 130100734| 119570615| 60115862| 130213235| 60268852| 60069411| 60069979| 60001526| 60105184","Universitas Negeri Surabaya| Generasi Biologi Indonesia Foundation| Universitas Airlangga| CV Jalan Tengah| European Virus Bioinformatics Center| Uttaranchal University| The Indonesian Society for Bioinformatics and Biodiversity (MABBI)| Universitas Muhammadiyah Lamongan| Universitas Mulawarman| Russian State Agrarian University - Moscow Timiryazev Agricultural Academy| Mississippi State University| Universitas Negeri Padang","57810983700","56737195700","56737195700","-","Indonesia| India| United States| Germany| Russian Federation","5","2707| 3002| 3003| 3004| 3611","Complementary and Alternative Medicine| Drug Discovery| Pharmaceutical Science| Pharmacology| Pharmacy","5","Life Sciences & Medicine","537| 532","Pharmacy & Pharmacology| Medicine","34","Medical and Health","42| 32| 31","Health Sciences| Biomedical And Clinical Sciences| Biological Sciences","3108| 3214| 4208","Plant biology| Pharmacology and pharmaceutical sciences| Traditional, complementary and integrative medicine","SDG 3","COVID-19, Its Impact, and Vaccination","1","99.935","Antiviral Compounds Against SARS Coronavirus","90200","75.929","Definitive"
"The Problems of Constitutional Court Regulations and Its Implications","Ilyas, A.| Prasetio, D.E.","2","59304315300| 59304916100","2022","2022-12-01","Jurnal Konstitusi","19","4","794-818","-","ISSN-18297706","21101245222","Journal","Indonesian","0.58","58","-","-","-","-","0.17","3","4","1.06","3.78","47","27","0","0","Ilyas, A., Prasetio, D.E. (2022).The Problems of Constitutional Court Regulations and Its Implications. Jurnal Konstitusi,19(4) 794-818","https://www.scopus.com/record/display.url?eid=2-s2.0-85202557910&origin=resultslist","10.31078/jk1943","Article","Gold","2-s2.0-85202557910","-","Universitas Negeri Surabaya","1","124307528| 60105082","Mahkamah Konstitusi Republik Indonesia| Universitas Negeri Surabaya","59304315300","59304916100","-","-","Indonesia","1","3308","Law","3","Social Sciences & Management","328","Law and Legal Studies","42","Law","-","-","-","-","-","Internationalization and Cultural Dynamics in Emerging Markets","635","74.886","Foreign Investment Strategies and Economic Growth","37117","31.308","Definitive"
"Enhancing Qur'an Reading Proficiency in Madrasahs Through Teaching Strategies Top of Form","Basir, A.| Tamjidnor| Suraijiah| Karoso, S.| Saidi, S.","5","59184623900| 59184473900| 57298773600| 59184624000| 59184624100","2024","2024-05-02","Nazhruna: Jurnal Pendidikan Islam","7","2","373-389","-","ISSN-26148013","21101185196","Journal","English","2.32","5","3.2","2","0.657","3","7.14","54","4","5.28","0.76","20","3","0","0","Basir, A., Tamjidnor, Suraijiah and 2 more (...) (2024).Enhancing Qur'an Reading Proficiency in Madrasahs Through Teaching Strategies Top of Form. Nazhruna: Jurnal Pendidikan Islam,7(2) 373-389","https://www.scopus.com/record/display.url?eid=2-s2.0-85196756778&origin=resultslist","10.31538/nzh.v7i2.4985","Article","Gold","2-s2.0-85196756778","-","Universitas Negeri Surabaya","1","60120839| 60105082| 60109688","Universitas Islam Negeri Antasari Banjarmasin| Universitas Negeri Surabaya| Universitas Kutai Kartanegara","59184623900","59184624100","59184623900","-","Indonesia","1","1202| 1211| 1212| 3301| 3304","History| Philosophy| Religious Studies| Social Sciences (miscellaneous)| Education","1| 3","Arts & Humanities| Social Sciences & Management","318| 138| 126| 145","Education & Training| Philosophy| History| Theology, Divinity & Religious Studies","41| 33| 40","Education Studies| Arts and Humanities| Social Sciences","-","-","-","-","SDG 4","Brain-Computer Interface Technologies","476","90.255","Neuroscience Insights into Quranic Influence on Wellbeing","50630","66.038","Definitive"
"Isolation of Lignans from The Stem Bark of Willughbeia coriacea and Their Cytotoxic Activity","Harsono, A.| Rahman, A.| Putri, R.J.| Tjahjandarie, T.S.| Saputri, R.D.| Ahmat, N.| Tanjung, M.","7","57216364749| 58139991400| 58139991500| 8274314900| 56034635500| 35486527900| 6505930352","2023","2023-02-28","Tropical Journal of Natural Product Research","7","2","2394-2396","-","ISSN-26160684","21100933230","Journal","English","0.37","73","1.1","66","0.177","65","3.58","63","4","0.58","6.95","36","44","0","0","Harsono, A., Rahman, A., Putri, R.J. and 4 more (...) (2023).Isolation of Lignans from The Stem Bark of Willughbeia coriacea and Their Cytotoxic Activity. Tropical Journal of Natural Product Research,7(2) 2394-2396","https://www.scopus.com/record/display.url?eid=2-s2.0-85149931100&origin=resultslist","10.26538/tjnpr/v7i2.14","Article","Gold","2-s2.0-85149931100","-","Universitas Airlangga| Universitas Negeri Surabaya| Universiti Teknologi MARA","3","60069383| 60105082| 60004351","Universitas Airlangga| Universitas Negeri Surabaya| Universiti Teknologi MARA","57216364749","6505930352","6505930352","-","Indonesia| Malaysia","2","1303| 1313| 1602| 2707| 3002| 3003| 3004","Biochemistry| Molecular Medicine| Analytical Chemistry| Complementary and Alternative Medicine| Drug Discovery| Pharmaceutical Science| Pharmacology","5| 4","Life Sciences & Medicine| Natural Sciences","532| 409| 507| 537","Medicine| Chemistry| Biological Sciences| Pharmacy & Pharmacology","32| 34| 37","Life Sciences| Medical and Health| Physical Sciences","51| 32| 42","Physical Sciences| Biomedical And Clinical Sciences| Health Sciences","4208| 5199| 3214","Traditional, complementary and integrative medicine| Other physical sciences| Pharmacology and pharmaceutical sciences","SDG 3","Berberine and Alkaloids in Disease Treatment","1426","26.619","Phytochemical Innovations in Rutaceae Compounds","72009","65.208","Definitive"
"Mathematics pre-service teachers' understanding of derivative concepts using APOS theory related to mathematic anxiety: A case study","Listiawati, E.| Juniati, D.| Ekawati, R.","3","57222185602| 57193704830| 57210812993","2023","2023-06-28","AIP Conference Proceedings","2733","1","-","030015","ISSN-0094243X","26916","Conference Proceeding","English","0.29","79","0.5","93","-","-","2.05","26","4","5.1","0.78","36","3","0","0","Listiawati, E., Juniati, D., Ekawati, R. (2023).Mathematics pre-service teachers' understanding of derivative concepts using APOS theory related to mathematic anxiety: A case study. AIP Conference Proceedings,2733(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85176741644&origin=resultslist","10.1063/5.0140155","Conference Paper","","2-s2.0-85176741644","-","Universitas Negeri Surabaya","1","60105082| 119111719","Universitas Negeri Surabaya| STKIP PGRI Bangkalan","57222185602","57210812993","57222185602","-","Indonesia","1","3100","General Physics and Astronomy","4","Natural Sciences","439","Physics & Astronomy","37","Physical Sciences","MD","Multidisciplinary","MD","Multidisciplinary","-","Mathematics Education and Teacher Development Insights","472","69.065","Understanding Mathematical Concepts throughInnovative Teaching","9926","85.79","Definitive"
"Development of durable class F fly ash based geopolymer concretes","Law, D.| Gunasekara, C.| Patrisia, Y.| Fernando, S.| Wardhono, A.","5","57939589700| 57215381433| 57216342708| 57225000483| 56033884800","2023","2023-01-01","IOP Conference Series: Earth and Environmental Science","1157","1","-","012024","ISSN-17551307","19900195068","Conference Proceeding","English","0.33","76","1","72","-","-","1.92","25","4","2.59","1.54","36","9","0","0","Law, D., Gunasekara, C., Patrisia, Y. and 2 more (...) (2023).Development of durable class F fly ash based geopolymer concretes. IOP Conference Series: Earth and Environmental Science,1157(1) ","https://www.scopus.com/record/display.url?eid=2-s2.0-85160926342&origin=resultslist","10.1088/1755-1315/1157/1/012024","Conference Paper","Gold","2-s2.0-85160926342","-","Universitas Negeri Surabaya| Royal Melbourne Institute of Technology University","2","60011362| 60105082","RMIT University| Universitas Negeri Surabaya","57939589700","56033884800","57939589700","-","Indonesia| Australia","2","1900| 2300","General Earth and Planetary Sciences| General Environmental Science","4| 2","Natural Sciences| Engineering & Technology","450| 424| 416| 451| 249","Geology| Environmental Sciences| Earth & Marine Sciences| Geophysics| Engineering - Petroleum","37","Physical Sciences","41| 37| 30","Environmental Sciences| Earth Sciences| Agricultural, Veterinary And Food Sciences","-","-","SDG 13","Innovative Materials for Enhanced Concrete Performance","60","98.888","Geopolymers: Sustainable Materials for Enhanced Strength","30","99.956","Definitive"
